                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1811,                 1.5428,                 1.1044,                0.42641,                0.19285,                0.30865,                0.18805,                 1.5947,                 2.8088,                 1.4483,               0.000101,               0.000101,               0.000101
                     53,                 1.1571,                 1.5214,                 1.0931,                  0.423,                0.19218,                0.30896,                0.18492,                 1.5611,                 2.8153,                  1.437,             9.8981e-05,             9.8981e-05,             9.8981e-05
                     54,                 1.1662,                  1.498,                 1.0752,                0.48777,                0.19549,                0.29769,                0.17735,                 1.5497,                 2.7805,                 1.4169,             9.6961e-05,             9.6961e-05,             9.6961e-05
                     55,                 1.1413,                 1.5011,                  1.093,                0.49487,                 0.1804,                0.29138,                 0.1852,                 1.5284,                 2.8509,                 1.4114,             9.4942e-05,             9.4942e-05,             9.4942e-05
                     56,                 1.1643,                 1.4661,                 1.1117,                0.36541,                0.23514,                0.28851,                 0.1833,                 1.5365,                 2.9318,                 1.4121,             9.2922e-05,             9.2922e-05,             9.2922e-05
                     57,                 1.2501,                 1.5742,                 1.1178,                 0.3742,                0.22996,                0.28481,                 0.1771,                  1.576,                 2.8837,                 1.4118,             9.0902e-05,             9.0902e-05,             9.0902e-05
                     58,                 1.1531,                 1.4891,                 1.1035,                0.49425,                0.17355,                0.30907,                0.18486,                  1.586,                 2.7476,                 1.4046,             8.8883e-05,             8.8883e-05,             8.8883e-05
                     59,                 1.1398,                 1.4212,                 1.0805,                0.48935,                0.17909,                0.29516,                0.17545,                 1.5561,                 2.7385,                 1.3923,             8.6863e-05,             8.6863e-05,             8.6863e-05
                     60,                  1.093,                 1.4514,                 1.0914,                0.54787,                0.18446,                0.28705,                0.17678,                 1.5342,                 2.7867,                  1.389,             8.4844e-05,             8.4844e-05,             8.4844e-05
                     61,                 1.1228,                 1.4108,                 1.0761,                 0.5737,                 0.1539,                0.27877,                0.16989,                 1.5304,                 2.8426,                  1.371,             8.2824e-05,             8.2824e-05,             8.2824e-05
                     62,                 1.0581,                 1.3875,                  1.072,                 0.5771,                 0.1571,                0.26837,                0.16373,                 1.5399,                 2.8397,                 1.3753,             8.0804e-05,             8.0804e-05,             8.0804e-05
                     63,                 1.1584,                 1.4384,                 1.0904,                0.54348,                0.17477,                0.27718,                0.16548,                 1.5396,                 2.8191,                 1.3978,             7.8785e-05,             7.8785e-05,             7.8785e-05
                     64,                 1.0821,                 1.3687,                 1.0798,                0.56353,                0.20298,                0.28694,                0.17468,                 1.5688,                 2.8076,                 1.4165,             7.6765e-05,             7.6765e-05,             7.6765e-05
                     65,                 1.0365,                 1.3347,                 1.0692,                0.55761,                0.19017,                0.27995,                0.17222,                 1.5841,                 2.8738,                 1.4194,             7.4746e-05,             7.4746e-05,             7.4746e-05
                     66,                 1.1286,                 1.4171,                 1.0794,                0.55858,                 0.1797,                0.27258,                0.17105,                 1.5926,                 2.9035,                 1.4164,             7.2726e-05,             7.2726e-05,             7.2726e-05
                     67,                 1.1481,                 1.4308,                 1.0933,                0.45961,                0.18717,                0.28524,                 0.1774,                 1.6158,                 2.8563,                 1.4411,             7.0706e-05,             7.0706e-05,             7.0706e-05
                     68,                 1.0949,                 1.4531,                 1.0991,                0.43991,                0.19309,                0.27366,                0.17329,                 1.6026,                 2.8138,                 1.4402,             6.8687e-05,             6.8687e-05,             6.8687e-05
                     69,                 1.0961,                 1.4025,                  1.063,                0.49166,                0.19263,                0.27889,                0.17497,                 1.5817,                 2.8316,                 1.4284,             6.6667e-05,             6.6667e-05,             6.6667e-05
                     70,                 1.1435,                 1.4677,                 1.0949,                0.51252,                0.20094,                0.28971,                0.17701,                 1.5763,                 2.8266,                 1.4212,             6.4648e-05,             6.4648e-05,             6.4648e-05
                     71,                 1.0938,                 1.3844,                 1.0709,                0.52469,                 0.1983,                0.28673,                0.17658,                 1.5814,                  2.824,                 1.4299,             6.2628e-05,             6.2628e-05,             6.2628e-05
                     72,                 1.0663,                  1.337,                  1.062,                0.44074,                 0.1883,                0.27534,                0.17146,                 1.6001,                 2.8335,                 1.4383,             6.0608e-05,             6.0608e-05,             6.0608e-05
                     73,                 1.1174,                 1.3622,                 1.0707,                0.48573,                0.18621,                0.27292,                0.16939,                 1.6152,                 2.8644,                 1.4492,             5.8589e-05,             5.8589e-05,             5.8589e-05
                     74,                 1.0666,                 1.3333,                 1.0594,                  0.485,                0.18807,                0.27311,                0.16943,                 1.5948,                  2.864,                 1.4461,             5.6569e-05,             5.6569e-05,             5.6569e-05
                     75,                 1.0791,                 1.3068,                 1.0666,                0.46337,                0.24308,                0.27532,                0.17275,                 1.5934,                 2.8997,                 1.4481,              5.455e-05,              5.455e-05,              5.455e-05
                     76,                 1.1396,                 1.3427,                 1.0613,                0.53222,                0.25214,                0.28386,                0.17011,                 1.5983,                 2.8943,                 1.4421,              5.253e-05,              5.253e-05,              5.253e-05
